,membership_category,avg_transaction_value,points_in_wallet,feedback,churn_risk_score
5942,Premium Membership,44866.16,385.7056719316229,Poor Customer Service,0
5943,Platinum Membership,34651.13,485.5385809060828,Poor Customer Service,0
5944,No Membership,34612.18,353.7006649191932,Poor Website,1
5945,No Membership,21574.0,414.2461508169796,Poor Product Quality,1
5946,Platinum Membership,27987.0,739.48,Too many ads,0
5947,No Membership,39331.17,663.54,Poor Customer Service,1
5948,Platinum Membership,9803.84,733.42,Too many ads,0
5949,Basic Membership,1053.17,648.57,Poor Customer Service,1
5950,Gold Membership,20326.32,0.0,Poor Customer Service,0
5951,Basic Membership,38657.11,637.49,Poor Product Quality,1
5952,Platinum Membership,43813.47,790.14,Poor Customer Service,0
5953,Gold Membership,24892.46,719.56,Poor Website,0
5954,Silver Membership,47391.56,715.88,Poor Product Quality,0
5955,Gold Membership,37013.58,772.58,Reasonable Price,0
5956,Basic Membership,45749.1,566.36,Poor Website,0
5957,Silver Membership,48773.76,650.5,Too many ads,1
5958,Gold Membership,15300.95,330.79813985367787,Poor Website,0
5959,Silver Membership,41883.93,715.88,Poor Customer Service,0
5960,Silver Membership,29425.22,0.0,Poor Website,0
5961,No Membership,40244.08,707.61,Poor Website,1
5962,No Membership,45746.62,707.47,No reason specified,1
5963,Basic Membership,15651.0,0.0,Too many ads,1
5964,Basic Membership,6807.32,43.13614585663288,Too many ads,1
5965,Silver Membership,49634.17,0.0,Poor Website,0
5966,Basic Membership,17317.34,519.77,Poor Website,1
5967,Silver Membership,1074.96,613.8,Poor Website,1
5968,Platinum Membership,34065.11,830.97,Quality Customer Care,0
5969,No Membership,7068.87,608.87,Poor Customer Service,1
5970,Premium Membership,52135.86,1038.0192146797594,User Friendly Website,0
5971,Basic Membership,48141.8,701.96,No reason specified,1
5972,No Membership,12507.88,663.86,Poor Customer Service,1
5973,Basic Membership,15461.36,632.86,No reason specified,1
5974,Platinum Membership,2714.95,757.57,No reason specified,0
5975,No Membership,48286.51,649.29,Poor Product Quality,1
5976,Silver Membership,43359.28,1268.6181067001053,Poor Customer Service,0
5977,Basic Membership,36987.24,0.0,No reason specified,1
5978,No Membership,8467.08,568.45,Poor Website,1
5979,Platinum Membership,12808.7,0.0,No reason specified,0
5980,No Membership,13374.01,693.0,Poor Website,1
5981,Gold Membership,31225.46,726.58,Poor Customer Service,0
5982,Platinum Membership,1118.63,748.67,Poor Customer Service,0
5983,Gold Membership,19253.09,714.08,Poor Product Quality,0
5984,Premium Membership,26810.64,741.26,Too many ads,0
5985,Gold Membership,31032.14,144.06338060974448,Poor Customer Service,1
5986,No Membership,42577.79,687.28,No reason specified,1
5987,Silver Membership,40575.41,765.48,No reason specified,0
5988,Basic Membership,35993.4,609.18,Too many ads,1
5989,Premium Membership,94008.37,762.18,User Friendly Website,0
5990,Gold Membership,7383.81,695.71,Poor Product Quality,1
5991,Gold Membership,35598.31,667.4,No reason specified,1
5992,Platinum Membership,83314.77,770.53,User Friendly Website,0
5993,No Membership,18009.67,924.9686804324248,Poor Product Quality,1
5994,Basic Membership,24313.93,595.11,No reason specified,1
5995,Platinum Membership,14011.74,751.04,Too many ads,0
5996,Platinum Membership,1736.53,0.0,Products always in Stock,0
5997,Basic Membership,23399.05,0.0,Too many ads,1
5998,No Membership,31258.04,529.86,Poor Product Quality,1
5999,No Membership,9406.63,633.85,Too many ads,1
6000,Silver Membership,30329.26,635.09,Too many ads,1
6001,Gold Membership,25959.46,721.01,Poor Website,0
6002,Gold Membership,37986.4,1136.6926067972124,No reason specified,0
6003,Gold Membership,41246.44,705.76,Poor Website,0
6004,Platinum Membership,39182.89,727.42,Poor Product Quality,0
6005,Basic Membership,36591.43,693.92,No reason specified,1
6006,Basic Membership,9642.27,618.4,Poor Product Quality,1
6007,Premium Membership,37421.79,707.42,Too many ads,0
6008,Platinum Membership,24123.0,771.82,No reason specified,0
6009,Premium Membership,1126.56,1267.719607602233,Reasonable Price,0
6010,No Membership,6372.56,572.17,Poor Product Quality,1
6011,No Membership,21969.88,570.26,No reason specified,1
6012,Gold Membership,20500.61,209.05772746396804,User Friendly Website,0
6013,Gold Membership,9956.66,345.5448020585826,No reason specified,1
6014,Gold Membership,24758.03,789.74,Products always in Stock,0
6015,No Membership,5187.07,644.01,Poor Product Quality,1
6016,Basic Membership,28793.05,688.81,Poor Website,1
6017,No Membership,38854.23,668.5,Too many ads,1
6018,Basic Membership,21568.07,713.28,Poor Customer Service,1
6019,Silver Membership,16705.78,304.5505050986434,Poor Product Quality,0
6020,Silver Membership,27079.25,667.39,No reason specified,1
6021,Basic Membership,42600.2,522.36,No reason specified,1
6022,Gold Membership,16165.1,719.81,Poor Customer Service,0
6023,Premium Membership,71169.52,845.19,Reasonable Price,0
6024,Gold Membership,12002.85,490.7441222566719,Poor Product Quality,0
6025,Basic Membership,1047.99,502.36,No reason specified,1
6026,Gold Membership,2397.75,780.55,Too many ads,0
6027,Gold Membership,48440.34,793.49,Products always in Stock,0
6028,No Membership,6404.65,0.0,Poor Customer Service,1
6029,Platinum Membership,36849.6,740.25,Poor Website,0
6030,No Membership,25690.91,681.03,Poor Website,0
6031,Platinum Membership,85443.98,795.17,Products always in Stock,0
6032,Platinum Membership,7286.86,722.64,Products always in Stock,0
6033,Platinum Membership,33223.42,792.0,Products always in Stock,0
6034,Basic Membership,20554.28,517.05,Poor Product Quality,1
6035,Premium Membership,90919.45,727.88,Reasonable Price,0
6036,Basic Membership,46116.11,513.28,Poor Product Quality,1
6037,Basic Membership,22496.37,649.81,Poor Website,1
6038,No Membership,6501.22,184.2607809266573,Poor Website,1
6039,Gold Membership,56796.48,769.32,User Friendly Website,0
6040,Gold Membership,14727.99,0.0,Poor Product Quality,1
6041,Premium Membership,10396.72,744.49,Poor Product Quality,0
6042,Basic Membership,35349.67,505.11,Poor Product Quality,0
6043,Premium Membership,5916.62,742.33,Too many ads,0
6044,Silver Membership,15489.64,711.76,Poor Product Quality,0
6045,No Membership,20770.19,519.12,Poor Customer Service,1
6046,No Membership,32171.82,0.0,Too many ads,1
6047,Gold Membership,43570.75,0.0,Too many ads,1
6048,Gold Membership,40119.54,1266.9374931982918,Quality Customer Care,0
6049,Gold Membership,26718.77,789.97,Too many ads,0
6050,Silver Membership,19191.93,471.6517784426496,No reason specified,0
6051,No Membership,48579.62,618.95,Too many ads,1
6052,Basic Membership,13991.6,706.49,Poor Product Quality,1
6053,Platinum Membership,4574.99,757.37,Poor Customer Service,0
6054,Gold Membership,82412.03,1115.507723171958,Quality Customer Care,0
6055,Premium Membership,34583.9,0.0,Too many ads,0
6056,Basic Membership,4710.52,0.0,Poor Product Quality,1
6057,Basic Membership,9557.39,0.0,Poor Product Quality,1
6058,Premium Membership,5149.34,758.12,Poor Product Quality,0
6059,Gold Membership,834.84,787.24,Too many ads,0
6060,No Membership,35559.82,699.53,Poor Product Quality,1
6061,Basic Membership,28512.5,671.29,No reason specified,1
6062,Premium Membership,35765.75,721.51,Poor Website,0
6063,Basic Membership,14258.18,575.06,No reason specified,1
6064,Gold Membership,43472.05,0.0,Poor Customer Service,1
6065,Silver Membership,32615.89,728.43,Poor Customer Service,0
6066,Silver Membership,43796.96,709.66,No reason specified,1
6067,Silver Membership,29661.17,755.38,Too many ads,0
6068,Gold Membership,4404.24,0.0,Too many ads,1
6069,Basic Membership,19764.78,0.0,Poor Product Quality,1
6070,Silver Membership,23035.64,0.0,Too many ads,1
6071,Basic Membership,32483.09,503.83,Poor Customer Service,1
6072,Basic Membership,13809.31,635.14,Poor Customer Service,1
6073,Premium Membership,6090.11,0.0,Too many ads,0
6074,Platinum Membership,11315.9,750.41,Poor Product Quality,0
6075,Gold Membership,20113.63,307.7799985044508,Poor Product Quality,1
6076,Basic Membership,11270.54,681.51,Poor Customer Service,1
6077,Basic Membership,40657.24,182.08034386690903,Poor Customer Service,1
6078,Platinum Membership,4775.62,779.62,Reasonable Price,0
6079,Premium Membership,44021.13,745.15,Poor Website,0
6080,No Membership,39713.94,608.03,Poor Product Quality,1
6081,Gold Membership,48832.94,713.84,Too many ads,0
6082,Platinum Membership,23017.32,764.66,Quality Customer Care,0
6083,No Membership,38314.56,662.74,Poor Product Quality,1
6084,Silver Membership,46807.02,702.77,Poor Product Quality,1
6085,Basic Membership,7256.35,616.83,Poor Customer Service,1
6086,No Membership,21305.6,657.6,Poor Customer Service,1
6087,No Membership,34769.99,580.69,Poor Website,1
6088,Basic Membership,34570.1,637.47,Poor Customer Service,1
6089,Gold Membership,16683.44,424.0947167047766,No reason specified,0
6090,Silver Membership,39156.3,631.56,Poor Customer Service,1
6091,Gold Membership,43599.06,627.6,Poor Customer Service,1
6092,No Membership,5534.77,670.3,No reason specified,1
6093,Premium Membership,24502.05,806.72,Reasonable Price,0
6094,No Membership,15133.64,662.17,Poor Product Quality,1
6095,Silver Membership,38981.1,1120.3263859582942,Poor Website,0
6096,Gold Membership,48092.46,715.65,Too many ads,1
6097,Silver Membership,7347.67,762.73,User Friendly Website,0
6098,Gold Membership,79528.11,318.08243419124216,Products always in Stock,0
6099,Premium Membership,29239.85,454.7867189190321,Poor Product Quality,0
6100,Basic Membership,38519.27,616.03,Too many ads,1
6101,Gold Membership,32517.48,793.8,Too many ads,0
6102,Gold Membership,39637.22,0.0,Poor Website,0
6103,No Membership,37402.25,569.98,Poor Website,1
6104,Platinum Membership,10317.51,781.91,Poor Product Quality,0
6105,Silver Membership,56349.2,0.0,Reasonable Price,0
6106,Silver Membership,47715.35,0.0,Poor Website,1
6107,Premium Membership,97278.43,824.66,Reasonable Price,0
6108,Premium Membership,47029.3,843.61,User Friendly Website,0
6109,Basic Membership,37806.2,672.56,Poor Website,1
6110,Silver Membership,47519.38,437.2427288564666,No reason specified,0
6111,No Membership,12591.18,0.0,Poor Customer Service,1
6112,No Membership,44588.39,517.48,Poor Product Quality,1
6113,No Membership,4698.42,529.12,No reason specified,1
6114,Platinum Membership,30942.39,720.97,Quality Customer Care,0
6115,Platinum Membership,1616.56,749.09,Poor Customer Service,0
6116,Gold Membership,10308.71,685.78,Poor Product Quality,0
6117,Silver Membership,8874.86,471.1349879307372,No reason specified,0
6118,Premium Membership,4007.91,265.4844723447284,Products always in Stock,0
6119,Silver Membership,47040.12,714.31,Poor Product Quality,1
6120,Basic Membership,38706.31,275.5824682462444,Poor Product Quality,1
6121,Platinum Membership,24304.6,711.47,Poor Product Quality,0
6122,Premium Membership,40062.26,530.2983126721173,Too many ads,0
6123,No Membership,28181.45,31.12219939998425,Poor Customer Service,1
6124,No Membership,15351.23,605.09,Poor Website,1
6125,Gold Membership,59394.94,750.5,User Friendly Website,0
6126,Silver Membership,29449.77,749.38,Too many ads,0
6127,Basic Membership,2538.71,661.53,Too many ads,1
6128,No Membership,38643.9,678.36,No reason specified,1
6129,Silver Membership,39571.03,76.91468328378812,Too many ads,1
6130,Gold Membership,22331.45,660.7,Too many ads,1
6131,Platinum Membership,56605.64,747.91,User Friendly Website,0
6132,Platinum Membership,68798.77,486.9289762439942,Products always in Stock,0
6133,Basic Membership,18332.54,626.69,Poor Product Quality,1
6134,Basic Membership,8907.29,535.6,No reason specified,1
6135,Silver Membership,18126.45,770.42,Poor Product Quality,0
6136,Basic Membership,4211.75,457.41517044503286,Poor Product Quality,0
6137,Gold Membership,37530.44,718.9,No reason specified,0
6138,Silver Membership,30115.66,690.93,No reason specified,1
6139,Silver Membership,9424.27,720.26,Poor Website,0
6140,Gold Membership,13468.49,762.2,Products always in Stock,0
6141,No Membership,5758.21,505.85,Poor Product Quality,1
6142,Gold Membership,17607.02,1091.52288634843,Poor Product Quality,0
6143,Premium Membership,19491.81,0.0,Products always in Stock,0
6144,No Membership,36310.64,0.0,Poor Product Quality,1
6145,Basic Membership,1942.25,549.11,Poor Customer Service,1
6146,Gold Membership,13842.8,649.74,Poor Customer Service,1
6147,Basic Membership,9010.01,691.37,Too many ads,1
6148,No Membership,20160.09,540.78,Poor Website,1
6149,Premium Membership,25112.43,782.16,Too many ads,0
6150,Premium Membership,45923.71,301.23224200018063,Poor Customer Service,0
6151,Gold Membership,44772.06,605.49,Too many ads,1
6152,Gold Membership,8460.05,0.0,Poor Website,0
6153,Gold Membership,21018.29,620.74,Poor Product Quality,1
6154,Gold Membership,35948.47,944.8335892566412,No reason specified,1
6155,Premium Membership,23895.08,796.05,Reasonable Price,0
6156,Premium Membership,46609.87,783.57,Poor Website,0
6157,No Membership,12008.24,883.9935711099719,Poor Website,1
6158,Platinum Membership,10878.14,772.2,Poor Customer Service,0
6159,Silver Membership,31998.98,707.48,Poor Website,1
6160,Gold Membership,4549.19,718.41,Poor Customer Service,1
6161,Silver Membership,14852.21,413.06825317113686,Too many ads,0
6162,Premium Membership,34574.39,769.53,Reasonable Price,0
6163,Basic Membership,34179.81,0.0,Poor Website,1
6164,No Membership,12956.29,660.39,Poor Customer Service,1
6165,Basic Membership,12963.35,598.78,Poor Customer Service,1
6166,No Membership,30154.29,619.32,Poor Product Quality,1
6167,Silver Membership,11445.51,760.19,Too many ads,0
6168,Basic Membership,9244.37,324.47096780176486,Poor Website,1
6169,Silver Membership,36381.74,678.69,Poor Product Quality,1
6170,No Membership,29177.65,570.35,Poor Product Quality,1
6171,Premium Membership,25259.05,767.27,Poor Customer Service,0
6172,No Membership,11859.12,0.0,No reason specified,1
6173,Gold Membership,43579.63,651.8,Poor Website,1
6174,Basic Membership,3634.02,0.0,Poor Product Quality,1
6175,Basic Membership,1132.67,624.93,Poor Product Quality,1
6176,Gold Membership,34097.91,641.45,Poor Website,1
6177,Gold Membership,31852.04,634.54,Poor Customer Service,1
6178,Silver Membership,45330.73,737.71,Poor Customer Service,0
6179,Silver Membership,33176.65,744.24,Quality Customer Care,0
6180,Basic Membership,46655.07,715.5,Poor Product Quality,1
6181,Silver Membership,6212.3,777.33,No reason specified,0
6182,Silver Membership,45277.75,725.73,No reason specified,0
6183,Premium Membership,77266.27,753.46,Products always in Stock,0
6184,Silver Membership,40635.27,714.82,No reason specified,1
6185,Gold Membership,8797.56,0.0,Poor Product Quality,0
6186,Basic Membership,17627.94,679.84,Poor Product Quality,1
6187,Gold Membership,19373.7,718.64,Poor Customer Service,0
6188,Premium Membership,13486.35,708.18,Poor Product Quality,0
6189,Platinum Membership,79783.08,0.0,Reasonable Price,0
6190,Gold Membership,11844.07,1165.746662180307,Too many ads,0
6191,No Membership,30978.94,656.93,Poor Website,1
6192,Silver Membership,36269.56,0.0,Poor Product Quality,1
6193,Gold Membership,27827.29,811.32,User Friendly Website,0
6194,Gold Membership,4763.05,702.35,No reason specified,1
6195,Platinum Membership,45298.42,793.99,Too many ads,0
6196,No Membership,7150.06,524.63,Too many ads,1
6197,Gold Membership,43912.68,0.0,Poor Customer Service,0
6198,Premium Membership,2082.03,758.28,Poor Website,0
6199,Basic Membership,30668.37,615.74,Poor Customer Service,1
6200,No Membership,10355.41,612.5,Poor Customer Service,1
6201,Silver Membership,44759.26,669.48,Too many ads,1
6202,Gold Membership,7621.66,707.36,Poor Product Quality,0
6203,Basic Membership,30499.8,0.0,Too many ads,1
6204,Basic Membership,10214.34,710.48,Too many ads,1
6205,Gold Membership,49637.24,790.94,Poor Customer Service,0
6206,Silver Membership,20382.21,709.22,No reason specified,1
6207,No Membership,31043.91,638.18,Too many ads,1
6208,Basic Membership,44579.45,677.88,Poor Customer Service,1
6209,Basic Membership,3540.21,566.84,No reason specified,1
6210,Gold Membership,89643.42,0.0,Reasonable Price,0
6211,No Membership,18881.33,569.71,Poor Customer Service,1
